Table with column headers in rows 3 and 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2022 Poverty and Median Household Income Estimates - Counties, States, and National
Source:  U.S. Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program
Release date:  December 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geographic Information,,,,All Ages,,,,,,Age 0-17,,,,,,Age 5-17 in Families,,,,,,Median Household Income,,,Age 0-4,,,,,
State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-4",90% CI Lower Bound,90% CI Upper Bound
02,068,AK,Denali Borough,116,87,145,7.3,5.5,9.1,31,22,40,11.2,8.1,14.3,21,15,27,9.7,6.7,12.7,"90,897","81,002","100,792",.,.,.,.,.,.
02,070,AK,Dillingham Census Area,924,672,"1,176",19.7,14.3,25.1,384,240,528,26.8,16.8,36.8,278,169,387,27.0,16.4,37.6,"69,716","62,835","76,597",.,.,.,.,.,.
02,090,AK,Fairbanks North Star Borough,"7,117","5,591","8,643",7.8,6.1,9.5,"1,826","1,211","2,441",8.4,5.6,11.2,"1,234",789,"1,679",8.0,5.1,10.9,"84,166","76,596","91,736",.,.,.,.,.,.
02,100,AK,Haines Borough,210,153,267,10.3,7.5,13.1,58,37,79,16.7,10.7,22.7,42,26,58,16.9,10.5,23.3,"70,610","62,694","78,526",.,.,.,.,.,.
02,105,AK,Hoonah-Angoon Census Area,399,300,498,17.5,13.2,21.8,106,68,144,28.1,18.1,38.1,76,48,104,28.4,17.8,39.0,"64,181","57,223","71,139",.,.,.,.,.,.
02,110,AK,Juneau Borough,"2,455","1,918","2,992",7.9,6.2,9.6,554,365,743,8.8,5.8,11.8,374,243,505,7.8,5.1,10.5,"102,097","93,962","110,232",.,.,.,.,.,.
02,122,AK,Kenai Peninsula Borough,"6,512","5,256","7,768",11.0,8.9,13.1,"1,660","1,138","2,182",12.7,8.7,16.7,"1,176",787,"1,565",12.0,8.0,16.0,"76,254","69,043","83,465",.,.,.,.,.,.
02,130,AK,Ketchikan Gateway Borough,"1,164",847,"1,481",8.6,6.3,10.9,317,203,431,11.7,7.5,15.9,218,137,299,10.7,6.7,14.7,"82,648","74,081","91,215",.,.,.,.,.,.
02,150,AK,Kodiak Island Borough,921,665,"1,177",7.5,5.4,9.6,268,172,364,9.3,6.0,12.6,180,113,247,8.5,5.3,11.7,"83,222","74,051","92,393",.,.,.,.,.,.
02,158,AK,Kusilvak Census Area,"2,454","1,992","2,916",29.8,24.2,35.4,"1,145",799,"1,491",33.3,23.2,43.4,774,503,"1,045",32.7,21.3,44.1,"41,824","37,498","46,150",.,.,.,.,.,.
02,164,AK,Lake and Peninsula Borough,276,201,351,20.1,14.6,25.6,107,69,145,27.0,17.4,36.6,77,48,106,28.4,17.9,38.9,"63,038","55,954","70,122",.,.,.,.,.,.
02,170,AK,Matanuska-Susitna Borough,"10,866","9,196","12,536",9.8,8.3,11.3,"3,186","2,468","3,904",11.3,8.8,13.8,"2,075","1,548","2,602",9.8,7.3,12.3,"86,313","81,196","91,430",.,.,.,.,.,.
02,180,AK,Nome Census Area,"1,909","1,508","2,310",19.9,15.7,24.1,803,569,"1,037",24.7,17.5,31.9,560,385,735,23.4,16.1,30.7,"64,480","57,304","71,656",.,.,.,.,.,.
02,185,AK,North Slope Borough,"1,474","1,124","1,824",13.7,10.4,17.0,406,269,543,14.9,9.9,19.9,268,175,361,13.1,8.6,17.6,"95,795","83,568","108,022",.,.,.,.,.,.
02,188,AK,Northwest Arctic Borough,"1,447","1,092","1,802",19.7,14.9,24.5,665,454,876,24.4,16.7,32.1,462,307,617,23.0,15.3,30.7,"69,234","62,954","75,514",.,.,.,.,.,.
02,195,AK,Petersburg Borough,230,168,292,7.1,5.2,9.0,63,41,85,9.5,6.1,12.9,42,26,58,8.2,5.1,11.3,"76,641","68,209","85,073",.,.,.,.,.,.
02,198,AK,Prince of Wales-Hyder Census Area,820,611,"1,029",14.6,10.9,18.3,259,173,345,21.8,14.5,29.1,177,114,240,19.4,12.5,26.3,"58,381","52,379","64,383",.,.,.,.,.,.
02,220,AK,Sitka Borough,651,482,820,7.9,5.8,10.0,155,101,209,9.8,6.4,13.2,106,69,143,9.1,5.9,12.3,"90,345","81,913","98,777",.,.,.,.,.,.
02,230,AK,Skagway Municipality,100,86,114,9.3,8.0,10.6,15,9,21,9.7,6.1,13.3,11,7,15,8.6,5.5,11.7,"73,603","65,197","82,009",.,.,.,.,.,.
02,240,AK,Southeast Fairbanks Census Area,865,654,"1,076",12.5,9.4,15.6,258,167,349,14.5,9.4,19.6,181,114,248,14.1,8.9,19.3,"74,732","65,790","83,674",.,.,.,.,.,.
02,275,AK,Wrangell City and Borough,246,187,305,12.0,9.1,14.9,74,52,96,19.4,13.6,25.2,48,31,65,17.3,11.3,23.3,"67,761","59,929","75,593",.,.,.,.,.,.
02,282,AK,Yakutat Borough,82,59,105,11.7,8.4,15.0,20,13,27,14.8,9.5,20.1,14,9,19,13.7,8.3,19.1,"78,552","69,718","87,386",.,.,.,.,.,.
02,290,AK,Yukon-Koyukuk Census Area,"1,084",830,"1,338",21.1,16.1,26.1,362,229,495,25.9,16.4,35.4,258,160,356,25.3,15.6,35.0,"47,798","42,392","53,204",.,.,.,.,.,.
04,000,AZ,Arizona,"904,567","882,773","926,361",12.5,12.2,12.8,"250,329","239,450","261,208",16.0,15.3,16.7,"174,580","165,530","183,630",14.9,14.1,15.7,"74,355","73,441","75,269","69,229","63,677","74,781",18.0,16.6,19.4
